"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ZenSkills_Name_Survival","Survival","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Sopravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存",
"STR_ZenSkills_Desc_Survival","Your talent at survival skills unlocks several ways to live longer.","Your talent at survival skills unlocks several ways to live longer.","Vaše schopnost přežití odemyká několik způsobů, jak žít déle.","Deine Überlebensfähigkeiten eröffnen dir mehrere Wege, länger zu leben.","Ваши навыки выживания открывают несколько способов прожить дольше.","Twoje umiejętności przetrwania odblokowują kilka sposobów na dłuższe życie.","A túlélési képességeid számos módot nyitnak meg a hosszabb élethez.","Il tuo talento nelle abilità di sopravvivenza sblocca diversi modi per vivere più a lungo.","Tu talento en habilidades de supervivencia desbloquea varias formas de vivir más tiempo.","Vos talents de survie débloquent plusieurs façons de vivre plus longtemps.","你的生存技能让你解锁多种延长寿命的方法。","あなたのサバイバルスキルは、より長く生き延びるためのいくつかの方法を解放します。","Seu talento em habilidades de sobrevivência desbloqueia várias maneiras de viver mais tempo.","你的生存技能可以解锁多种延长寿命的方法。",
"STR_ZenSkills_Perk_Survival_Name1","Survivalist","Survivalist","Přeživší","Überlebenskünstler","Выживальщик","Surwiwalowiec","Túlélő","Sopravvissuto","Superviviente","Survivaliste","生存者","サバイバリスト","Sobrevivente","生存者",
"STR_ZenSkills_Perk_Survival_Name2","Bush Chef","Bush Chef","Kuchař v divočině","Buschkoch","Полевой повар","Kucharz polowy","Bozótfőző","Cuoco da campo","Cocinero de campo","Cuisinier de brousse","荒野の料理人","ブッシュシェフ","Cozinheiro do mato","野外厨师",
"STR_ZenSkills_Perk_Survival_Name3","Light Footed","Light Footed","Lehkonožec","Leichtfüßig","Легконогий","Lekki krok","Könnyű lábú","Piede leggero","De pies ligeros","Pied léger","轻步者","身軽な","Pé leve","轻脚步",
"STR_ZenSkills_Perk_Survival_Name4","Running Hot","Running Hot","Rozpálený","Heißläufer","Разогретый","Rozgrzany","Forró futó","Correndo caldo","Corriendo caliente","Chaud bouillant","火热奔跑","走り熱い","Correndo quente","火热奔跑",
"STR_ZenSkills_Perk_Survival_Name5","High Calcium","High Calcium","Vysoký obsah vápníku","Hoher Kalziumgehalt","Высокий кальций","Wysoka zawartość wapnia","Magas kalcium","Alto contenuto di calcio","Alto calcio","Riche en calcium","高钙","高カルシウム","Alto cálcio","高钙",
"STR_ZenSkills_Perk_Survival_Name6","Strong Hands","Strong Hands","Silné ruce","Starke Hände","Сильные руки","Silne ręce","Erős kezek","Mani forti","Manos fuertes","Mains fortes","强壮的双手","強い手","Mãos fortes","强壮的双手",
"STR_ZenSkills_Perk_Survival_Name7","Fire Starter","Fire Starter","Rozdělávač ohně","Feuerstarter","Разведение огня","Rozpalanie ognia","Tűzgyújtó","Accendifuoco","Iniciador de fuego","Allume-feu","生火能手","火起こし名人","Acendedor de fogo","生火能手",
"STR_ZenSkills_Perk_Survival_Name8","Good Threads","Good Threads","Dobré oblečení","Gute Klamotten","Хорошая одежда","Dobre ubrania","Jó cuccok","Bei vestiti","Buenas prendas","Bons fringues","好衣服","いい服","Boas roupas","好衣服",
"STR_ZenSkills_Perk_Survival_Name9","Keep It Healthy","Keep It Healthy","Udržuj zdraví","Bleib gesund","Береги здоровье","Dbaj o zdrowie","Maradj egészséges","Mantieniti in salute","Mantente sano","Reste en bonne santé","保持健康","健康を保つ","Mantenha-se saudável","保持健康",
"STR_ZenSkills_Perk_Survival_Name10","Efficient Metabolism","Efficient Metabolism","Efektivní metabolismus","Effizienter Stoffwechsel","Эффективный метаболизм","Wydajny metabolizm","Hatékony anyagcsere","Metabolismo efficiente","Metabolismo eficiente","Métabolisme efficace","高效代谢","効率的な代謝","Metabolismo eficiente","高效代谢",
"STR_ZenSkills_Perk_Survival_Desc1","You gain %1 more experience from survival activities","You gain %1 more experience from survival activities","Získáš o %1 více zkušeností z činností přežití","Du erhältst %1 mehr Erfahrung durch Überlebensaktivitäten","Вы получаете на %1 больше опыта от действий по выживанию","Zyskujesz o %1 więcej doświadczenia z działań związanych z przetrwaniem","%1 több tapasztalatot szerzel a túlélési tevékenységekből","Ottieni %1 esperienza in più dalle attività di sopravvivenza","Ganas %1 más experiencia en actividades de supervivencia","Vous gagnez %1 d’expérience supplémentaire grâce aux activités de survie","你从生存活动中获得%1更多经验","生存活動から%1多くの経験を得る","Você ganha %1 mais experiência em atividades de sobrevivência","你从生存活动中获得%1更多经验",
"STR_ZenSkills_Perk_Survival_Desc2","You can place %1  extra sticks to cook around a fire","You can place %1 extra sticks to cook around a fire","Můžeš přidat %1 klacků k vaření u ohně","Du kannst %1 zusätzliche Stöcke zum Kochen am Feuer platzieren","Вы можете положить %1 дополнительных палок для готовки у костра","Możesz dodać %1 dodatkowych patyków do gotowania przy ognisku","%1 extra botot rakhatsz a tűz köré főzéshez","Puoi mettere %1 bastoncini extra per cucinare intorno al fuoco","Puedes colocar %1 palos extra para cocinar alrededor de una fogata","Vous pouvez placer %1 bâtons supplémentaires pour cuisiner autour d’un feu","你可以在篝火旁多放%1根木棍来做饭","焚き火の周りに%1本余分に棒を置ける","Você pode colocar %1 gravetos extras para cozinhar ao redor da fogueira","你可以在篝火旁多放%1根木棍来做饭",
"STR_ZenSkills_Perk_Survival_Desc3","Your shoes degrade %1 slower","Your shoes degrade %1 slower","Tvoje boty se opotřebovávají o %1 pomaleji","Deine Schuhe verschleißen %1 langsamer","Твоя обувь изнашивается на %1 медленнее","Twoje buty niszczą się o %1 wolniej","A cipőd %1 lassabban kopik","Le tue scarpe si consumano %1 più lentamente","Tus zapatos se desgastan un %1 más lento","Vos chaussures se dégradent %1 plus lentement","你的鞋子磨损速度降低%1","靴の劣化が%1遅い","Seus sapatos se desgastam %1 mais devagar","你的鞋子磨损速度降低%1",
"STR_ZenSkills_Perk_Survival_Desc4","The heat buff lasts %1 longer","The heat buff lasts %1 longer","Bonus tepla trvá o %1 déle","Der Hitzebonus hält %1 länger an","Эффект тепла длится на %1 дольше","Premia ciepła trwa o %1 dłużej","A hőbónusz %1 tovább tart","Il bonus calore dura %1 più a lungo","El beneficio de calor dura %1 más","Le bonus de chaleur dure %1 plus longtemps","热量增益持续时间延长%1","熱バフが%1長く続く","O bônus de calor dura %1 mais","热量增益持续时间延长%1",
"STR_ZenSkills_Perk_Survival_Desc5","Broken bones heal %1 faster","Broken bones heal %1 faster","Zlomeniny se hojí o %1 rychleji","Gebrochene Knochen heilen %1 schneller","Переломы заживают на %1 быстрее","Złamane kości goją się o %1 szybciej","A törött csontok %1 gyorsabban gyógyulnak","Le ossa rotte guariscono %1 più velocemente","Los huesos rotos sanan un %1 más rápido","Les os cassés guérissent %1 plus vite","骨折愈合速度提高%1","骨折が%1早く治る","Os ossos quebrados curam %1 mais rápido","骨折愈合速度提高%1",
"STR_ZenSkills_Perk_Survival_Desc6","You can wring clothes out %1 faster","You can wring clothes out %1 faster","Můžeš vyždímat oblečení o %1 rychleji","Du kannst Kleidung %1 schneller auswringen","Ты можешь выжимать одежду на %1 быстрее","Możesz wyżymać ubrania o %1 szybciej","%1 gyorsabban tudod kicsavarni a ruhákat","Puoi strizzare i vestiti %1 più velocemente","Puedes escurrir la ropa un %1 más rápido","Vous pouvez essorer vos vêtements %1 plus vite","你可以把衣服拧干速度提高%1","服を%1早く絞れる","Você pode torcer as roupas %1 mais rápido","你可以把衣服拧干速度提高%1",
"STR_ZenSkills_Perk_Survival_Desc7","You have a %1 chance to successfully light a fire with a hand drill kit","You have a %1 chance to successfully light a fire with a hand drill kit","Je tu %1 šance, že se ti podaří rozdělat oheň pomocí ručního vrtacího setu","Es besteht eine %1 Chance, dass du mit einem Handbohrer-Set erfolgreich ein Feuer entfachst","Есть %1 шанс, что вы успешно разожжёте огонь с помощью набора для ручного сверления","Masz %1 szansy na pomyślne rozpalenie ognia przy użyciu zestawu do ręcznego wiercenia","%1 esélyed van, hogy tűzfúró-készlettel sikeresen tüzet gyújts","C’è una %1 possibilità che tu riesca ad accendere un fuoco con un kit di trapano manuale","Hay un %1 de probabilidad de que enciendas con éxito un fuego con un kit de taladro manual","Il y a %1 de chances que vous parveniez à allumer un feu avec un kit de perceuse manuelle","有%1的几率使用手钻套件成功生火。","ハンドドリルキットで火を起こすことに%1の確率で成功する。","Há %1 de chance de acender uma fogueira com sucesso usando um kit de broca manual","有%1的几率使用手钻套件成功生火。",
"STR_ZenSkills_Perk_Survival_Desc8","Your clothes are %1 more durable to damage caused by non-humans","Your clothes are %1 more durable to damage caused by non-humans","Tvoje oblečení je o %1 odolnější vůči poškození způsobenému ne-lidmi","Deine Kleidung ist %1 widerstandsfähiger gegen Schäden durch Nicht-Menschen","Твоя одежда на %1 более устойчива к повреждениям, вызванным нечеловеческими существами","Twoje ubrania są o %1 bardziej odporne na uszkodzenia od nieludzi","A ruháid %1 ellenállóbbak a nem emberek okozta károkkal szemben","I tuoi vestiti sono %1 più resistenti ai danni causati da non umani","Tu ropa es %1 más duradera contra daños causados por no humanos","Vos vêtements sont %1 plus résistants aux dégâts causés par des non-humains","你的衣服对非人类造成的伤害更耐用%1。","服は非人間によるダメージに%1強い。","Suas roupas são %1 mais duráveis contra danos causados por não-humanos","你的衣服对非人类造成的伤害更耐用%1。",
"STR_ZenSkills_Perk_Survival_Desc9","You have a %1 increased immunity strength","You have a %1 increased immunity strength","Máš o %1 silnější imunitu","Du hast eine um %1 stärkere Immunität","У тебя на %1 сильнее иммунитет","Masz %1 silniejszą odporność","Az immunitásod %1 erősebb","Hai un’immunità più forte del %1","Tienes un %1 más de fuerza inmunitaria","Vous avez une immunité renforcée de %1","你拥有%1更强的免疫力。","免疫力が%1高い。","Você tem %1 mais força de imunidade","你拥有%1更强的免疫力。",
"STR_ZenSkills_Perk_Survival_Desc10","You take %1 longer to get hungry and thirsty","You take %1 longer to get hungry and thirsty","Trvá ti o %1 déle, než dostaneš hlad a žízeň","Es dauert %1 länger, bis du hungrig und durstig wirst","Тебе требуется на %1 больше времени, чтобы проголодаться и захотеть пить","Zajmuje ci o %1 więcej czasu, aby zgłodnieć i odczuć pragnienie","%1 hosszabb ideig tart, míg éhes és szomjas leszel","Ci vuole il %1 in più per avere fame e sete","Tardas %1 más en tener hambre y sed","Vous mettez %1 plus de temps à avoir faim et soif","你需要更长%1时间才会感到饥饿和口渴。","空腹や喉の渇きを感じるまでに%1長くかかる。","Você demora %1 mais para sentir fome e sede","你需要更长%1时间才会感到饥饿和口渴。",
"STR_ZenSkills_Perk_Crafting_Name1","Carpenter","Carpenter","Tesař","Zimmermann","Плотник","Cieśla","Asztalos","Falegname","Carpintero","Charpentier","木匠","大工","Carpinteiro","木匠",
"STR_ZenSkills_Perk_Crafting_Name2","Stone Age","Stone Age","Doba kamenná","Steinzeit","Каменный век","Epoka kamienia","Kőkorszak","Età della pietra","Edad de piedra","Âge de pierre","石器时代","石器時代","Idade da Pedra","石器时代",
"STR_ZenSkills_Perk_Crafting_Name3","More Rope","More Rope","Více provazů","Mehr Seile","Больше верёвок","Więcej lin","Több kötél","Più corde","Más cuerdas","Plus de cordes","更多绳子","もっとロープ","Mais cordas","更多绳子",
"STR_ZenSkills_Perk_Crafting_Name4","Quick Hands","Quick Hands","Rychlé ruce","Schnelle Hände","Быстрые руки","Szybkie ręce","Gyors kezek","Mani veloci","Manos rápidas","Mains rapides","快手","素早い手","Mãos rápidas","快手",
"STR_ZenSkills_Perk_Crafting_Name5","Good With Tools","Good With Tools","Dobrý s nástroji","Gut mit Werkzeugen","Умелый с инструментами","Dobry w narzędziach","Jó szerszámhasználó","Bravo con gli attrezzi","Bueno con las herramientas","Bon avec les outils","擅长工具","道具が得意","Bom com ferramentas","擅长工具",
"STR_ZenSkills_Perk_Crafting_Name6","Blue Collar","Blue Collar","Dělník","Arbeiter","Рабочий","Robotnik","Munkás","Colletto blu","Obrero","Col bleu","蓝领","ブルーカラー","Operário","蓝领",
"STR_ZenSkills_Perk_Crafting_Name7","Gifted Tailor","Gifted Tailor","Nadaný krejčí","Begabter Schneider","Одаренный портной","Utalentowany krawiec","Tehetséges szabó","Sarto dotato","Sastre talentoso","Tailleur doué","天才裁缝","才能ある仕立て屋","Alfaiate talentoso","天才裁缝",
"STR_ZenSkills_Perk_Crafting_Name8","That's A Knife","That's A Knife","To je nůž","Das ist ein Messer","Вот это нож","To jest nóż","Ez aztán a kés","Questo sì che è un coltello","Eso sí es un cuchillo","Ça c’est un couteau","这才叫刀","これぞナイフ","Isso é que é faca","这才叫刀",
"STR_ZenSkills_Perk_Crafting_Name9","Master Builder","Master Builder","Mistr stavitel","Baumeister","Мастер-строитель","Mistrz budowniczy","Mesterépítő","Maestro costruttore","Maestro constructor","Maître bâtisseur","建筑大师","建築マスター","Mestre construtor","建筑大师",
"STR_ZenSkills_Perk_Crafting_Name10","Master Tailor","Master Tailor","Mistr krejčí","Meisterschneider","Мастер-портной","Mistrz krawiectwa","Mester szabó","Maestro sarto","Maestro sastre","Maître tailleur","裁缝大师","仕立てマスター","Mestre alfaiate","裁缝大师",
"STR_ZenSkills_Name_Crafting","Crafting","Crafting","Řemesla","Handwerk","Ремесло","Rzemiosło","Barkácsolás","Artigianato","Artesanía","Artisanat","制作","クラフト","Artesanato","制作",
"STR_ZenSkills_Desc_Crafting","Your talent at crafting enables you to achieve better results.","Your talent at crafting enables you to achieve better results.","Tvůj talent pro řemesla ti umožňuje dosahovat lepších výsledků.","Dein Talent fürs Handwerk ermöglicht dir bessere Ergebnisse.","Твой талант в ремесле позволяет добиваться лучших результатов.","Twój talent do rzemiosła pozwala ci osiągać lepsze wyniki.","A barkácsolási tehetséged jobb eredményeket tesz lehetővé.","Il tuo talento nel crafting ti consente di ottenere risultati migliori.","Tu talento en la artesanía te permite lograr mejores resultados.","Votre talent pour l’artisanat vous permet d’obtenir de meilleurs résultats.","你的制作天赋让你取得更好的成果。","クラフトの才能がより良い結果をもたらす。","Seu talento em artesanato permite obter melhores resultados.","你的制作天赋让你取得更好的成果。",
"STR_ZenSkills_Perk_Crafting_Desc1","You gain %1 more experience from crafting & building activities","You gain %1 more experience from crafting & building activities","Získáš o %1 více zkušeností z řemeslných a stavebních činností","Du erhältst %1 mehr Erfahrung aus Handwerks- und Bauaktivitäten","Вы получаете на %1 больше опыта от крафта и строительства","Zyskujesz o %1 więcej doświadczenia z działań rzemieślniczych i budowlanych","%1 több tapasztalatot szerzel a barkács- és építési tevékenységekből","Ottieni %1 esperienza in più dalle attività di crafting e costruzione","Obtienes %1 más experiencia en actividades de artesanía y construcción","Vous gagnez %1 d’expérience supplémentaire grâce aux activités d’artisanat et de construction","你从制作和建造活动中获得%1更多经验。","クラフトと建築活動から%1多くの経験を得る。","Você ganha %1 mais experiência em atividades de artesanato e construção","你从制作和建造活动中获得%1更多经验。",
"STR_ZenSkills_Perk_Crafting_Desc2","You have a %1 chance to craft an extra stone or bone knife","You have a %1 chance to craft an extra stone or bone knife","Máš %1 šanci vyrobit si navíc kamenný nebo kostěný nůž","Du hast eine %1 Chance, ein zusätzliches Stein- oder Knochmesser herzustellen","У тебя есть %1 шанс скрафтить дополнительный каменный или костяной нож","Masz %1 szansy, aby stworzyć dodatkowy kamienny lub kostny nóż","%1 esélyed van extra kő- vagy csontkést készíteni","Hai una %1 possibilità di creare un coltello di pietra o osso extra","Tienes un %1 de probabilidad de fabricar un cuchillo de piedra o hueso adicional","Vous avez %1 de chances de fabriquer un couteau en pierre ou en os supplémentaire","你有%1的几率多制作一把石刀或骨刀。","%1の確率で追加の石や骨のナイフを作れる。","Você tem %1 de chance de fabricar uma faca de pedra ou osso extra","你有%1的几率多制作一把石刀或骨刀。",
"STR_ZenSkills_Perk_Crafting_Desc3","You have a %1 chance to craft an extra rope","You have a %1 chance to craft an extra rope","Máš %1 šanci vyrobit si navíc provaz","Du hast eine %1 Chance, ein zusätzliches Seil herzustellen","У тебя есть %1 шанс скрафтить дополнительную верёвку","Masz %1 szansy, aby stworzyć dodatkową linę","%1 esélyed van extra kötelet készíteni","Hai una %1 possibilità di creare una corda extra","Tienes un %1 de probabilidad de fabricar una cuerda adicional","Vous avez %1 de chances de fabriquer une corde supplémentaire","你有%1的几率多制作一根绳子。","%1の確率で追加のロープを作れる。","Você tem %1 de chance de fabricar uma corda extra","你有%1的几率多制作一根绳子。",
"STR_ZenSkills_Perk_Crafting_Desc4","You craft things %1 faster","You craft things %1 faster","Vyrábíš věci o %1 rychleji","Du stellst Dinge %1 schneller her","Ты создаёшь вещи на %1 быстрее","Wytwarzasz rzeczy o %1 szybciej","%1 gyorsabban készítesz dolgokat","Crei oggetti %1 più velocemente","Fabricas cosas un %1 más rápido","Vous fabriquez des objets %1 plus vite","你制作物品的速度提高%1。","物を%1早く作れる。","Você fabrica coisas %1 mais rápido","你制作物品的速度提高%1。",
"STR_ZenSkills_Perk_Crafting_Desc5","You have a %1 increased durability with tools","You have a %1 increased durability with tools","Nástroje mají o %1 vyšší trvanlivost","Deine Werkzeuge haben %1 mehr Haltbarkeit","Прочность инструментов увеличена на %1","Twoje narzędzia mają o %1 większą trwałość","Az eszközeid %1 tartósabbak","I tuoi strumenti hanno una durata aumentata del %1","Tus herramientas tienen un %1 más de durabilidad","Vos outils ont une durabilité augmentée de %1","你的工具耐久度提高%1。","道具の耐久力が%1上がる。","Suas ferramentas têm %1 mais durabilidade","你的工具耐久度提高%1。",
"STR_ZenSkills_Perk_Crafting_Desc6","Blowtorches, tire, weapon, and electronic repair kits last %1 longer","Blowtorches, tire, weapon, and electronic repair kits last %1 longer","Autogeny, sady na opravy pneumatik, zbraní a elektroniky vydrží o %1 déle","Schweißbrenner, Reifen-, Waffen- und Elektronikreparatursets halten %1 länger","Горелки, наборы для ремонта шин, оружия и электроники служат на %1 дольше","Palniki, zestawy naprawcze opon, broni i elektroniki trwają o %1 dłużej","Lángvágók, gumi-, fegyver- és elektronikai javítókészletek %1 tovább bírják","Le torce, i kit di riparazione per pneumatici, armi ed elettronica durano %1 più a lungo","Sopletes y kits de reparación de neumáticos, armas y electrónicos duran un %1 más","Chalumeaux, kits de réparation de pneus, armes et électroniques durent %1 plus longtemps","喷灯、轮胎、武器和电子维修工具包的使用时间延长%1。","溶接機、タイヤ・武器・電子修理キットが%1長く持つ。","Maçaricos, kits de reparo de pneus, armas e eletrônicos duram %1 mais","喷灯、轮胎、武器和电子维修工具包的使用时间延长%1。",
"STR_ZenSkills_Perk_Crafting_Desc7","Duct tape, sewing and leather kits last %1 longer","Duct tape, sewing and leather kits last %1 longer","Lepicí pásky, šicí a kožené sady vydrží o %1 déle","Klebeband, Näh- und Lederkits halten %1 länger","Скотч, наборы для шитья и кожи служат на %1 дольше","Taśma, zestawy do szycia i skóry trwają o %1 dłużej","Ragasztószalag, varró- és bőrkészletek %1 tovább tartanak","Nastro adesivo, kit da cucito e pelle durano %1 più a lungo","Cinta adhesiva, kits de costura y cuero duran un %1 más","Le ruban adhésif, les kits de couture et de cuir durent %1 plus longtemps","胶带、缝纫和皮革工具包的使用时间延长%1。","ダクトテープ、裁縫・革キットが%1長く持つ。","Fitas adesivas, kits de costura e couro duram %1 mais","胶带、缝纫和皮革工具包的使用时间延长%1。",
"STR_ZenSkills_Perk_Crafting_Desc8","Sharpening stones and Epoxy last %1 longer","Sharpening stones and Epoxy last %1 longer","Brousky a epoxid vydrží o %1 déle","Schleifsteine und Epoxid halten %1 länger","Точильные камни и эпоксид служат на %1 дольше","Kamienie do ostrzenia i epoksyd trwają o %1 dłużej","Élezőkövek és epoxi %1 tovább bírják","Pietre per affilare ed epossidica durano %1 più a lungo","Piedras de afilar y epoxi duran un %1 más","Pierres à aiguiser et époxy durent %1 plus longtemps","磨刀石和环氧树脂的使用时间延长%1。","砥石とエポキシが%1長く持つ。","Pedras de amolar e epóxi duram %1 mais","磨刀石和环氧树脂的使用时间延长%1。",
"STR_ZenSkills_Perk_Crafting_Desc9","You have a %1 chance to only use half your construction supplies when building","You have a %1 chance to only use half your construction supplies when building","Máš %1 šanci použít při stavbě jen polovinu materiálů","Du hast eine %1 Chance, nur die Hälfte deiner Baumaterialien zu verbrauchen","У тебя есть %1 шанс использовать только половину строительных материалов","Masz %1 szansy, że użyjesz tylko połowy materiałów budowlanych","%1 esélyed van, hogy csak az építőanyag felét használd","Hai una %1 possibilità di usare solo metà dei materiali da costruzione","Tienes un %1 de probabilidad de usar solo la mitad de los suministros de construcción","Vous avez %1 de chances de n’utiliser que la moitié de vos matériaux de construction","你有%1的几率在建造时只消耗一半建材。","建築時に建材を半分しか使わない確率が%1ある。","Você tem %1 de chance de usar apenas metade dos suprimentos de construção","你有%1的几率在建造时只消耗一半建材。",
"STR_ZenSkills_Perk_Crafting_Desc10","You have a %1 chance of repairing damaged gear back to Pristine state","You have a %1 chance of repairing damaged gear back to Pristine state","Máš %1 šanci opravit poškozené vybavení zpět do stavu Pristine","Du hast eine %1 Chance, beschädigte Ausrüstung wieder in makellosen Zustand zu versetzen","У тебя есть %1 шанс починить повреждённое снаряжение до состояния Pristine","Masz %1 szansy, aby naprawić uszkodzony sprzęt do stanu idealnego","%1 esélyed van, hogy a sérült felszerelést Pristine állapotba javítsd","Hai una %1 possibilità di riparare l’equipaggiamento danneggiato allo stato Pristine","Tienes un %1 de probabilidad de reparar equipo dañado al estado Pristine","Vous avez %1 de chances de réparer l’équipement endommagé à l’état Pristine","你有%1的几率把损坏的装备修复到完美状态。","損傷した装備をプレスティン状態に修理できる確率が%1ある。","Você tem %1 de chance de reparar equipamentos danificados para o estado Pristine","你有%1的几率把损坏的装备修复到完美状态。",
"STR_ZenSkills_Name_Hunting","Hunting","Hunting","Lov","Jagd","Охота","Łowiectwo","Vadászat","Caccia","Caza","Chasse","狩猎","狩猟","Caça","狩猎",
"STR_ZenSkills_Desc_Hunting","Your honed instinct for hunting animals gives you the extra edge in the wilderness.","Your honed instinct for hunting animals gives you the extra edge in the wilderness.","Tvůj vytříbený instinkt pro lov ti dává v divočině výhodu.","Dein geschärfter Instinkt für die Jagd auf Tiere verschafft dir einen Vorteil in der Wildnis.","Твой отточенный инстинкт охоты на животных даёт тебе преимущество в дикой природе.","Twój wyostrzony instynkt łowiecki daje ci przewagę na łonie natury.","A vadászösztönöd előnyt ad a vadonban.","Il tuo istinto affinato per la caccia ti dà un vantaggio nella natura selvaggia.","Tu instinto perfeccionado para cazar animales te da una ventaja en la naturaleza salvaje.","Ton instinct affûté pour la chasse t’offre un avantage dans la nature.","你磨练出的狩猎本能让你在荒野中更有优势。","研ぎ澄まされた狩猟本能が自然界で優位に立たせる。","Seu instinto de caça aguçado lhe dá uma vantagem na natureza selvagem.","你磨练出的狩猎本能让你在荒野中更有优势。",
"STR_ZenSkills_Perk_Hunting_Name1","Hunter","Hunter","Lovec","Jäger","Охотник","Myśliwy","Vadász","Cacciatore","Cazador","Chasseur","猎人","ハンター","Caçador","猎人",
"STR_ZenSkills_Perk_Hunting_Name2","The Fisherman","The Fisherman","Rybář","Der Fischer","Рыбак","Rybak","Halász","Il pescatore","El pescador","Le pêcheur","渔夫","漁師","O Pescador","渔夫",
"STR_ZenSkills_Perk_Hunting_Name3","Master Baiter","Master Baiter","Mistr návnad","Meisterköderer","Мастер наживки","Mistr przynęty","Csali mester","Maestro dell’esca","Maestro de cebos","Maître des appâts","钓饵大师","エサの達人","Mestre da isca","钓饵大师",
"STR_ZenSkills_Perk_Hunting_Name4","Great Rod","Great Rod","Velký prut","Große Rute","Отличная удочка","Świetna wędka","Nagy bot","Grande canna","Gran caña","Grande canne","好钓竿","立派な釣竿","Grande vara","好钓竿",
"STR_ZenSkills_Perk_Hunting_Name5","The Butcher","The Butcher","Řezník","Der Metzger","Мясник","Rzeźnik","Mészáros","Il macellaio","El carnicero","Le boucher","屠夫","肉屋","O Açougueiro","屠夫",
"STR_ZenSkills_Perk_Hunting_Name6","The Tanner","The Tanner","Koželuh","Der Gerber","Кожевник","Garbarz","Tímár","Il conciatore","El curtidor","Le tanneur","制革工","なめし職人","O Curtidor","制革工",
"STR_ZenSkills_Perk_Hunting_Name7","The Trapper","The Trapper","Pastiř","Der Fallensteller","Ловец","Łowca pułapek","Csapdázó","Il cacciatore di trappole","El trampero","Le trappeur","捕兽者","罠猟師","O Armadilheiro","捕兽者",
"STR_ZenSkills_Perk_Hunting_Name8","Thin Skin","Thin Skin","Citlivka","Dünnhäutig","Тонкокожий","Cienkoskóry","Vékony bőrű","Pelle sottile","Piel fina","Peau fine","薄皮","薄皮","Pele fina","薄皮",
"STR_ZenSkills_Perk_Hunting_Name9","Hungry Wolf","Hungry Wolf","Hladový vlk","Hungriger Wolf","Голодный волк","Głodny wilk","Éhes farkas","Lupo affamato","Lobo hambriento","Loup affamé","饥饿的狼","腹ぺこの狼","Lobo faminto","饥饿的狼",
"STR_ZenSkills_Perk_Hunting_Name10","Animal Tracker","Animal Tracker","Stopař zvěře","Tierspurensucher","Следопыт","Tropiciel zwierząt","Állatkövető","Tracciatore di animali","Rastreador de animales","Traqueur d’animaux","动物追踪者","動物追跡者","Rastreador de animais","动物追踪者",
"STR_ZenSkills_Perk_Hunting_Desc1","You gain %1 more experience from hunting activities","You gain %1 more experience from hunting activities","Získáš o %1 více zkušeností z lovu","Du erhältst %1 mehr Erfahrung durch Jagdaktivitäten","Вы получаете на %1 больше опыта от охоты","Zyskujesz o %1 więcej doświadczenia z działań łowieckich","%1 több tapasztalatot szerzel vadászati tevékenységekből","Ottieni %1 esperienza in più dalle attività di caccia","Obtienes %1 más experiencia en actividades de caza","Vous gagnez %1 d’expérience supplémentaire grâce à la chasse","你从狩猎活动中获得%1更多经验。","狩猟活動から%1多くの経験を得る。","Você ganha %1 mais experiência em atividades de caça","你从狩猎活动中获得%1更多经验。",
"STR_ZenSkills_Perk_Hunting_Desc2","You have a %1 better chance at catching something while fishing","You have a %1 better chance at catching something while fishing","Máš o %1 vyšší šanci něco chytit při rybaření","Du hast eine um %1 bessere Chance, beim Angeln etwas zu fangen","У тебя на %1 больше шансов поймать что-то при рыбалке","Masz o %1 większą szansę na złapanie czegoś podczas łowienia ryb","%1 nagyobb esélyed van, hogy fogj valamit horgászat közben","Hai una %1 migliore possibilità di catturare qualcosa pescando","Tienes un %1 mejor probabilidad de atrapar algo al pescar","Vous avez %1 de meilleures chances d’attraper quelque chose en pêchant","钓鱼时捕到东西的几率提高%1。","釣りで何かを捕まえる確率が%1上がる。","Você tem %1 mais chance de pegar algo ao pescar","钓鱼时捕到东西的几率提高%1。",
